id,start_time,end_time,age_range,occupation,stress_frequency,mental_health_rating,stress_symptoms,productivity_rating,performance_impact,sleep_hours,overwhelmed_frequency,deadline_impact,mental_health_resources,mental_health_importance
1,2024/11/6 02:54,2024/11/6 02:56,18 - 24,Student,weekly,Average,Fatigue or lack of energy;,4,Yes,5 - 6 hours,Often,Agree,Yes,Strongly agree
2,2024/11/6 10:58,2024/11/6 11:01,18 - 24,Student,Daily,Average,Increased irritability;,3,Yes,7 - 8 hours,Often,Agree,No,Strongly agree
3,2024/11/6 11:53,2024/11/6 11:55,25 - 34,Student,Monthly,Average,Increased irritability;,3,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
4,2024/11/6 12:27,2024/11/6 12:29,18 - 24,Student,Rarely,Great and Happy about it,None of the above;,4,Yes,5 - 6 hours,Rarely,Disagree,No,Agree
5,2024/11/6 12:34,2024/11/6 12:35,25 - 34,Student,weekly,Average,Increased irritability;Fatigue or lack of energy;Difficulty concentrating;,2,Yes,7 - 8 hours,Sometimes,Nither agree or disagree,No,Agree
6,2024/11/6 12:47,2024/11/6 12:50,18 - 24,Student,Daily,Very Poor,Headaches;Insomnia;Difficulty concentrating;,3,Yes,3 - 4 hours,Often,Strongly agree,Yes,Agree
7,2024/11/6 12:52,2024/11/6 12:54,18 - 24,Student,Rarely,Great and Happy about it,Difficulty concentrating;,4,No,5 - 6 hours,Rarely,Nither agree or disagree,Yes,Agree
8,2024/11/6 13:06,2024/11/6 13:10,18 - 24,Student,Daily,Very Poor,Fatigue or lack of energy;,4,Yes,5 - 6 hours,Sometimes,Agree,No,Agree
9,2024/11/6 14:01,2024/11/6 14:01,25 - 34,Student,Daily,Very Poor,Insomnia;,1,Yes,5 - 6 hours,Sometimes,Agree,No,Strongly disagree
10,2024/11/6 13:58,2024/11/6 14:10,25 - 34,Employee,weekly,Great and Happy about it,Difficulty concentrating;,3,Yes,7 - 8 hours,Sometimes,Agree,Yes,Agree
